step,phase,ee_x,ee_y,ee_z,joint_base,joint_shoulder,joint_elbow,joint_wrist_pitch,joint_wrist_roll,joint_left_finger,joint_right_finger
117,joint0_neg,-0.08019666373729706,-0.004222968127578497,0.3334372937679291,0.052609313279390335,0.0031199876684695482,-1.0530585050582886,0.0036635955329984426,-0.020921794697642326,0.2588331401348114,-0.25339093804359436
118,joint0_neg,-0.08004485070705414,-0.004238664172589779,0.33339494466781616,0.052904583513736725,0.0051482622511684895,-1.0569746494293213,0.006216195411980152,-0.025243930518627167,0.25645676255226135,-0.2531704604625702
119,joint0_neg,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
120,joint0_neg,-0.07959546148777008,-0.004257138818502426,0.33325865864753723,0.053434088826179504,0.011213903315365314,-1.068672776222229,0.013666458427906036,-0.03299499675631523,0.24916519224643707,-0.25381553173065186
121,joint0_neg,-0.07946503907442093,-0.004241148941218853,0.33324939012527466,0.05332108959555626,0.012779977172613144,-1.0714143514633179,0.015686025843024254,-0.03589167445898056,0.24687910079956055,-0.2556682527065277
122,joint0_neg,-0.07932929694652557,-0.004223774652928114,0.33324483036994934,0.05319354683160782,0.014374041929841042,-1.074157953262329,0.01777026616036892,-0.03844534233212471,0.2444213628768921,-0.25808945298194885
123,joint0_neg,-0.07916779071092606,-0.004203429911285639,0.3332306742668152,0.053045790642499924,0.016324801370501518,-1.0775781869888306,0.02024989388883114,-0.04025368392467499,0.24190738797187805,-0.261059045791626
124,joint0_neg,-0.07893634587526321,-0.004176880698651075,0.3331737220287323,0.05286567658185959,0.01935337297618389,-1.0831644535064697,0.023822668939828873,-0.04048999026417732,0.23970185220241547,-0.26434922218322754
125,joint0_neg,-0.07870960235595703,-0.0041493927128612995,0.33312252163887024,0.05266932398080826,0.022281894460320473,-1.0885181427001953,0.02729754149913788,-0.0406656339764595,0.2374340295791626,-0.2678971588611603
126,joint0_neg,-0.07851710915565491,-0.004122437443584204,0.33313533663749695,0.05245586112141609,0.024395886808633804,-1.0919097661972046,0.030088961124420166,-0.04055726155638695,0.23388879001140594,-0.2741170823574066
127,joint0_neg,-0.08745088428258896,0.005249525420367718,0.33731821179389954,-0.059956084936857224,-0.11544661223888397,-0.8216722011566162,-0.10012258589267731,-0.012981109321117401,0.3044685423374176,-0.3504759669303894
128,joint0_neg,-0.08756470680236816,0.006037394516170025,0.3373909592628479,-0.06883864849805832,-0.1182202398777008,-0.8162833452224731,-0.10250706225633621,-0.01208274532109499,0.3060276508331299,-0.3532603085041046
129,joint0_neg,-0.08766517043113708,0.006827398668974638,0.33746182918548584,-0.07772365212440491,-0.1208956390619278,-0.8112307190895081,-0.1045069620013237,-0.010900290682911873,0.30742302536964417,-0.35644760727882385
130,joint0_neg,-0.0877523198723793,0.007619427517056465,0.33753126859664917,-0.08661168068647385,-0.12347149848937988,-0.8065717816352844,-0.10601939260959625,-0.009443506598472595,0.3085707128047943,-0.36010730266571045
131,joint0_neg,-0.08782634884119034,0.008413290604948997,0.33759891986846924,-0.09550304710865021,-0.12594838440418243,-0.8022827506065369,-0.10709349811077118,-0.007731936872005463,0.3095114231109619,-0.36417320370674133
132,joint0_neg,-0.08788730204105377,0.009208721108734608,0.3376648724079132,-0.10439781844615936,-0.128325954079628,-0.7983695268630981,-0.10772188007831573,-0.005775355268269777,0.3102400004863739,-0.36863869428634644
